Code,Item Code,Drink_Name,Size,Age,Proof,Unit_Price,Case_Price,
@ 9564B,99900956475,WHICKED PICKLE WHISKEY,750 ML,,70,17.95,215.40,
7153B,99900715375,WHIPPER SNAPPER OREGON SPIRIT WHISKEY,750 ML,,84,28.95,173.70,
9312B,99900931275,WHISKEYSMITH CHOCOLATE FLAVORED WHISKEY,750 ML,,60,22.95,275.40,
$ 5910B,99900591075,WHISKIES OF THE SEASON 12-50MLS,750 ML,,71,14.95,89.70,
5841B,99900584175,WHISTLEPIG 10 YR  STRAIGHT RYE WHISKEY,750 ML,10 YRS,100,84.95,509.70,
3394B,99900339475,WHISTLEPIG 12 YR OLD WORLD MARRIAGE,750 ML,12 YRS,86,124.95,749.70,
3859B,99900385975,WHISTLEPIG 15 YR STRAIGHT RYE WHISKEY,750 ML,15 YRS,92,249.95,749.85,
6549B,99900654975,WHISTLEPIG 18YR DOUBLE MALT,750 ML,18 YRS,92,399.95,"1,199.85",
@ 9006B,99900900675,WHISTLEPIG 6 YEAR PIGGYBACK,750 ML,6 YRS,97,49.95,299.70,
9006F,99900900605,WHISTLEPIG 6 YEAR PIGGYBACK,50 ML,6 YRS,97,5.00,360.00,
@ 5983B,99900598375,WHISTLEPIG FARMSTOCK FARMHOUSE BATCH RYE,750 ML,4 YRS,86,72.95,437.70,
9830B,99900983075,WHISTLEPIG ROADSTOCK RYE WHISKEY,750 ML,,86,72.95,437.70,
2096B,99900209675,WHITE CHRISTMAS RUM & BRANDY LIQUEUR,750 ML,,60,14.95,179.40,
@ 9794E,99900979437,WILD ROOTS BLACKBERRY VODKA & SODA 4-CANS  375 ML,,,8,14.95,89.70,
4147B,99900414775,WILD ROOTS CHERRY VODKA,750 ML,,70,27.95,335.40,
4148B,99900414875,WILD ROOTS CRANBERRY,750 ML,,70,27.95,335.40,
@ 5859B,99900585975,WILD ROOTS CUCUMBER GRAPEFRUIT GIN,750 ML,,88,29.95,359.40,
@ 5159B,99900515975,WILD ROOTS GIN,750 ML,,92,26.95,323.40,
@ 5159H,99900515917,WILD ROOTS GIN,1.75 L,,92,47.95,287.70,
$ 5170B,99900517075,WILD ROOTS HUCKLEBERRY VAP,750 ML,,70,27.95,167.70,
4825B,99900482575,WILD ROOTS HUCKLEBERRY VODKA,750 ML,,70,27.95,335.40,
@ 9795E,99900979537,WILD ROOTS LEMON VODKA & SODA 4-CANS,375 ML,,8,14.95,89.70,
$ 4448B,99900444875,WILD ROOTS MARIONBERRY VAP,750 ML,,70,27.95,167.70,
2155B,99900215575,WILD ROOTS MARIONBERRY VODKA,750 ML,,70,27.95,335.40,
@ 2155E,99900215537,WILD ROOTS MARIONBERRY VODKA,375 ML,,70,14.95,179.40,
@ 5217B,99900521775,WILD ROOTS PEACH VODKA,750 ML,,70,27.95,335.40,
@ 5217E,99900521737,WILD ROOTS PEACH VODKA,375 ML,,70,14.95,179.40,
@ 9793E,99900979337,WILD ROOTS PEACH VODKA & SODA 4-CANS,375 ML,,8,14.95,89.70,
3945B,99900394575,WILD ROOTS PEAR VODKA,750 ML,,70,27.95,335.40,
@ 3945E,99900394537,WILD ROOTS PEAR VODKA,375 ML,,70,14.95,179.40,
$ 5171B,99900517175,WILD ROOTS PEAR W/4-50ML,750 ML,,70,27.95,167.70,
1961B,99900196175,WILD ROOTS RASPBERRY VODKA,750 ML,,70,27.95,335.40,
@ 1961E,99900196137,WILD ROOTS RASPBERRY VODKA,375 ML,,70,14.95,179.40,
@ 9792E,99900979237,WILD ROOTS RASPBERRY VODKA & SODA 4-CANS,375 ML,,8,14.95,89.70,
@ 5570E,99900557037,WILD ROOTS VARIETY 50 ML/8-PACK,375 ML,,70,24.95,548.90,
3944B,99900394475,WILD ROOTS VODKA,750 ML,,80,22.95,275.40,
3944H,99900394417,WILD ROOTS VODKA,1.75 L,,80,37.95,227.70,
@ 3944E,99900394437,WILD ROOTS VODKA,375 ML,,80,11.95,143.40,
2865B,99900286575,WILD ROOTS VODKA APPLE CINNAMON,750 ML,,80,27.95,335.40,
5098B,99900509875,WILD ROOTS VODKA W/2 50ML'S,750 ML,,80,22.95,137.70,
9022B,99900902275,WILD TURKEY - RARE BREED RYE,750 ML,,113,59.95,359.70,
5116D,99900511620,WILD TURKEY 101,200 ML,,101,7.45,178.80,
6037B,99900603775,WILD TURKEY 101,750 ML,,101,23.95,287.40,
6037E,99900603737,WILD TURKEY 101,375 ML,,101,15.45,185.40,
6037F,99900603705,WILD TURKEY 101,50 ML,,101,3.00,360.00,
6037H,99900603717,WILD TURKEY 101,1.75 L,,101,44.95,269.70,
2479A,99900247910,WILD TURKEY 101 RYE,LITER,,101,27.95,167.70,
$ 3024B,99900302475,WILD TURKEY 101 W/ AGED COCKTAIL KIT,750 ML,,101,23.95,143.70,
0196B,99900019675,WILD TURKEY 81,750 ML,,81,19.95,239.40,
$ 3308B,99900330875,WILD TURKEY AM. HON W/PITCHER,750 ML,,71,19.95,119.70,
2005B,99900200575,WILD TURKEY AMERICAN HONEY,750 ML,,60,19.95,239.40,
2005H,99900200517,WILD TURKEY AMERICAN HONEY,1.75 L,,60,39.95,239.70,
2165B,99900216575,WILD TURKEY KENTUCKY SPIRIT SINGLE BARRL,750 ML,,101,59.95,359.70,
5039B,99900503975,WILD TURKEY LONGBRANCH 8 YR,750 ML,8 YRS,86,34.95,209.70,
2157B,99900215775,WILD TURKEY RARE BREED,750 ML,,117,47.95,287.70,
1600B,99900160075,WILD TURKEY RUSS RES. S/B,750 ML,,110,57.95,347.70,
0134B,99900013475,WILD TURKEY RUSSELL'S RESERVE BOURBON,750 ML,10 YRS,90,34.95,209.70,
6465B,99900646575,WILD TURKEY RUSSELL'S RESERVE RYE WHISKY,750 ML,6 YRS,90,37.95,227.70,
@ 4886B,99900488675,WILD WILL WHEAT WHISKEY,750 ML,,100,45.95,551.40,
0319H,99900031917,WINDSOR CANADIAN BLENDED CANADIAN WHISKY,1.75 L,,80,17.95,107.70,
8346B,99900834675,WISERS DELUXE,750 ML,,80,16.95,203.40,
8346H,99900834617,WISERS DELUXE,1.75 L,,80,29.95,179.70,
0683H,99900068317,WOLFSCHMIDT,1.75 L,,80,18.95,113.70,
2241B,99900224175,WOODFORD RES. DBL OAK BTB,750 ML,,90,59.95,359.70,
7846A,99900784610,WOODFORD RESERVE DERBY BOURBON,LITER,,90,47.95,287.70,
0139B,99900013975,WOODFORD RESERVE DISTILLER SELECT,750 ML,,90,33.95,407.40,
0139E,99900013937,WOODFORD RESERVE DISTILLER SELECT,375 ML,,90,18.95,227.40,
0139H,99900013917,WOODFORD RESERVE DISTILLER SELECT,1.75 L,,90,72.95,437.70,
1024B,99900102475,WOODFORD RESERVE DOUBLE OAK,750 ML,,94,49.95,299.70,
5211B,99900521175,WOODFORD RESERVE MALT,750 ML,,90,33.95,203.70,
2145B,99900214575,WOODFORD RESERVE MC CHOC MALTED RYE,750 ML,,90,127.95,767.70,
3105B,99900310575,WOODFORD RESERVE RYE,750 ML,,90,33.95,203.70,
